,,,,,0,1,2,3,4
1:1,2,20 - 60,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1.551, 0.214)"
1:1,2,60 - 70,min-max,3650,"(0.067, 0.094)","(0.024, 0.034)","(0.035, 0.05)","(0.035, 0.05)","(1.1, 0.107)"
1:1,2,0 - 20,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.742, 0.016)"
1:1,2,70 - 100,min-max,3650,"(0.167, 0.236)","(0.024, 0.034)","(0.042, 0.059)","(0.042, 0.059)","(0.734, 0.01)"
1:1,3,0 - 100,min-max,3650,"(0.067, 0.094)","(0.022, 0.031)","(0.033, 0.047)","(0.0, 0.0)","(5.34, 3.07)"
1:1,3,20 - 70,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(2.771, 0.131)"
1:1,3,20 - 60,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1.728, 0.06)"
1:1,3,60 - 70,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1.257, 0.029)"
1:1,3,0 - 20,min-max,3650,"(0.111, 0.157)","(0.022, 0.031)","(0.037, 0.052)","(0.0, 0.0)","(0.75, 0.012)"
1:1,3,70 - 100,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.733, 0.005)"
1:10,2,0 - 100,min-max,3650,"(0.048, 0.067)","(0.024, 0.034)","(0.032, 0.045)","(0.032, 0.045)","(4.709, 2.235)"
1:10,2,20 - 70,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(2.164, 0.121)"
1:10,2,20 - 60,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1.396, 0.111)"
1:10,2,60 - 70,min-max,3650,"(0.037, 0.052)","(0.024, 0.034)","(0.029, 0.041)","(0.029, 0.041)","(1.139, 0.049)"
1:10,2,0 - 20,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.738, 0.014)"
1:10,2,70 - 100,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.708, 0.011)"
1:10,3,0 - 100,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(2.909, 0.069)"
1:10,3,20 - 70,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(2.635, 0.173)"
1:10,3,20 - 60,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1.696, 0.151)"
1:10,3,60 - 70,min-max,3650,"(0.333, 0.471)","(0.024, 0.034)","(0.044, 0.063)","(0.044, 0.063)","(1.236, 0.066)"
1:10,3,0 - 20,min-max,3650,"(0.333, 0.471)","(0.024, 0.034)","(0.044, 0.063)","(0.044, 0.063)","(0.729, 0.009)"
1:10,3,70 - 100,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.716, 0.016)"
1:0,2,0 - 100,power,3650,"(0.185, 0.139)","(0.089, 0.063)","(0.119, 0.085)","(0.062, 0.044)","(24490.525, 14706.791)"
1:0,2,20 - 70,power,3650,"(0.139, 0.031)","(0.094, 0.035)","(0.111, 0.034)","(0.082, 0.065)","(16331.263, 10903.551)"
1:0,2,20 - 60,power,3650,"(0.103, 0.017)","(0.07, 0.002)","(0.082, 0.004)","(0.053, 0.038)","(76059.406, 68578.571)"
1:0,2,60 - 70,power,3650,"(0.072, 0.053)","(0.048, 0.034)","(0.057, 0.041)","(0.057, 0.041)","(466.009, 37.236)"
1:0,2,0 - 20,power,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(22661580.004, 16316483.389)"
