,,,,,0,1,2,3,4
1:10,3,70 - 100,power,36500,"(0.135, 0.017)","(0.173, 0.036)","(0.15, 0.024)","(0.12, 0.012)","(0.714, 0.0)"
1:0,2,0 - 100,min-max,3650,"(0.042, 0.005)","(0.022, 0.001)","(0.029, 0.003)","(0.0, 0.0)","(120096.333, 8674572093.513)"
1:0,2,20 - 70,min-max,3650,"(0.194, 0.044)","(0.146, 0.022)","(0.166, 0.03)","(0.103, 0.008)","(192846.315, 9702845569.181)"
1:0,2,20 - 60,min-max,3650,"(0.333, 0.111)","(0.092, 0.006)","(0.141, 0.015)","(0.106, 0.01)","(1068.031, 23766.474)"
1:0,2,60 - 70,min-max,3650,"(0.148, 0.029)","(0.048, 0.002)","(0.068, 0.004)","(0.068, 0.004)","(468444.735, 3984137350.41)"
1:0,2,0 - 20,min-max,3650,"(0.222, 0.148)","(0.048, 0.007)","(0.078, 0.018)","(0.078, 0.018)","(29506.776, 22003106.129)"
1:0,2,70 - 100,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(564731.609, 3962369823.565)"
1:0,3,0 - 100,min-max,3650,"(0.111, 0.009)","(0.067, 0.004)","(0.081, 0.006)","(0.026, 0.002)","(131806.712, 11544724888.134)"
1:0,3,20 - 70,min-max,3650,"(0.108, 0.01)","(0.046, 0.002)","(0.064, 0.003)","(0.035, 0.004)","(100855.149, 5613492080.507)"
1:0,3,20 - 60,min-max,3650,"(0.225, 0.015)","(0.067, 0.0)","(0.098, 0.0)","(0.0, 0.0)","(432416.207, 70725886240.587)"
1:0,3,60 - 70,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1396.396, 3388.018)"
1:0,3,0 - 20,min-max,3650,"(0.333, 0.333)","(0.024, 0.002)","(0.044, 0.006)","(0.044, 0.006)","(34618.313, 11931152.069)"
1:0,3,70 - 100,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(837937.491, 18770736968.33)"
1:0.1,2,0 - 100,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(10.511, 3.794)"
1:0.1,2,20 - 70,min-max,3650,"(0.042, 0.005)","(0.024, 0.002)","(0.03, 0.003)","(0.03, 0.003)","(6.327, 0.202)"
1:0.1,2,20 - 60,min-max,3650,"(0.048, 0.007)","(0.024, 0.002)","(0.032, 0.003)","(0.032, 0.003)","(3.487, 0.178)"
1:0.1,2,60 - 70,min-max,3650,"(0.067, 0.013)","(0.048, 0.007)","(0.056, 0.009)","(0.056, 0.009)","(2.062, 0.103)"
1:0.1,2,0 - 20,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.711, 0.0)"
1:0.1,2,70 - 100,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.721, 0.0)"
1:0.1,3,0 - 100,min-max,3650,"(0.273, 0.005)","(0.09, 0.001)","(0.133, 0.002)","(0.067, 0.003)","(10.158, 1.587)"
