Rs,Rj,Ra,Sj,Sa,Sb,Cj,Ca,Cb,Fc
54.8234786185,0.2682033198,0.9892855845,8.5107443468,9.9548481111,50.0327448433,8.1867865903,0.8093210073,0.8423816962,0.0
54.8235110633,0.2682032854,0.9892855672,8.5107382367,9.9548401227,50.0327269359,8.1867846316,0.8093218201,0.8423828834,0.0
54.8235435577,0.2682032516,0.9892855501,8.5107321411,9.9548321066,50.0327089635,8.1867826584,0.8093226217,0.8423840701,0.0
54.8235761006,0.2682032182,0.9892855331,8.5107260602,9.9548240634,50.0326909261,8.1867806705,0.8093234121,0.842385256,0.0
54.8236086906,0.2682031854,0.9892855162,8.5107199944,9.9548159939,50.0326728237,8.1867786681,0.8093241913,0.8423864414,0.0
54.8236413266,0.268203153,0.9892854994,8.510713944,9.9548078988,50.0326546564,8.1867766511,0.8093249592,0.8423876261,0.0
54.8236740073,0.2682031212,0.9892854827,8.5107079092,9.9547997786,50.0326364242,8.1867746197,0.8093257161,0.8423888101,0.0
54.8237067315,0.2682030898,0.9892854661,8.5107018905,9.9547916343,50.0326181272,8.1867725739,0.8093264619,0.8423899935,0.0
54.823739498,0.268203059,0.9892854497,8.510695888,9.9547834664,50.0325997654,8.1867705137,0.8093271966,0.8423911761,0.0
54.8237723056,0.2682030286,0.9892854333,8.510689902,9.9547752757,50.0325813388,8.1867684392,0.8093279203,0.8423923581,0.0
54.823805153,0.2682029988,0.9892854171,8.510683933,9.9547670628,50.0325628477,8.1867663505,0.809328633,0.8423935394,0.0
54.8238380389,0.2682029695,0.989285401,8.5106779811,9.9547588285,50.0325442919,8.1867642475,0.8093293348,0.8423947199,0.0
54.8238709623,0.2682029408,0.989285385,8.5106720467,9.9547505734,50.0325256716,8.1867621304,0.8093300256,0.8423958998,0.0
54.8239039217,0.2682029125,0.9892853692,8.5106661301,9.9547422983,50.032506987,8.1867599992,0.8093307056,0.8423970789,0.0
54.8239369161,0.2682028848,0.9892853534,8.5106602314,9.9547340039,50.0324882379,8.186757854,0.8093313748,0.8423982572,0.0
54.8239699441,0.2682028576,0.9892853378,8.5106543512,9.9547256908,50.0324694247,8.1867556947,0.8093320332,0.8423994348,0.0
54.8240030045,0.2682028309,0.9892853222,8.5106484895,9.9547173598,50.0324505473,8.1867535216,0.8093326808,0.8424006116,0.0
54.8240360961,0.2682028048,0.9892853068,8.5106426468,9.9547090115,50.0324316058,8.1867513345,0.8093333177,0.8424017877,0.0
54.8240692178,0.2682027791,0.9892852915,8.5106368232,9.9547006467,50.0324126004,8.1867491337,0.809333944,0.8424029629,0.0
54.8241023681,0.2682027541,0.9892852763,8.5106310192,9.9546922661,50.0323935311,8.1867469191,0.8093345596,0.8424041373,0.0
54.824135546,0.2682027295,0.9892852613,8.5106252348,9.9546838703,50.0323743981,8.1867446908,0.8093351646,0.842405311,0.0
54.8241687502,0.2682027055,0.9892852463,8.5106194706,9.9546754601,50.0323552016,8.1867424489,0.8093357591,0.8424064838,0.0
54.8242019794,0.2682026821,0.9892852315,8.5106137266,9.9546670361,50.0323359415,8.1867401934,0.8093363431,0.8424076558,0.0
54.8242352324,0.2682026592,0.9892852167,8.5106080032,9.954658599,50.0323166181,8.1867379243,0.8093369167,0.8424088269,0.0
54.8242685081,0.2682026368,0.9892852021,8.5106023006,9.9546501496,50.0322972314,8.1867356419,0.8093374799,0.8424099972,0.0
54.8243018051,0.268202615,0.9892851876,8.5105966192,9.9546416885,50.0322777817,8.186733346,0.8093380326,0.8424111666,0.0
54.8243351223,0.2682025938,0.9892851732,8.5105909591,9.9546332164,50.032258269,8.1867310369,0.8093385751,0.8424123351,0.0
54.8243684584,0.2682025731,0.9892851589,8.5105853207,9.954624734,50.0322386935,8.1867287145,0.8093391073,0.8424135028,0.0
54.8244018122,0.2682025529,0.9892851448,8.5105797042,9.9546162421,50.0322190554,8.1867263789,0.8093396293,0.8424146696,0.0
54.8244351824,0.2682025334,0.9892851307,8.5105741099,9.9546077412,50.0321993547,8.1867240302,0.8093401411,0.8424158355,0.0
54.824468568,0.2682025143,0.9892851168,8.510568538,9.9545992321,50.0321795918,8.1867216685,0.8093406427,0.8424170004,0.0
54.8245019675,0.2682024959,0.9892851029,8.5105629889,9.9545907155,50.0321597666,8.1867192937,0.8093411343,0.8424181644,0.0
54.8245353799,0.268202478,0.9892850892,8.5105574626,9.954582192,50.0321398795,8.1867169061,0.8093416159,0.8424193276,0.0
54.8245688039,0.2682024606,0.9892850756,8.5105519596,9.9545736623,50.0321199305,8.1867145056,0.8093420874,0.8424204897,0.0
54.8246022382,0.2682024438,0.9892850621,8.5105464801,9.9545651272,50.0320999198,8.1867120924,0.809342549,0.8424216509,0.0
54.8246356817,0.2682024276,0.9892850487,8.5105410242,9.9545565873,50.0320798477,8.1867096664,0.8093430008,0.8424228112,0.0
54.8246691332,0.268202412,0.9892850354,8.5105355923,9.9545480432,50.0320597143,8.1867072279,0.8093434426,0.8424239705,0.0
54.8247025914,0.2682023969,0.9892850223,8.5105301846,9.9545394958,50.0320395197,8.1867047768,0.8093438747,0.8424251288,0.0
54.8247360552,0.2682023825,0.9892850092,8.5105248014,9.9545309455,50.0320192643,8.1867023132,0.8093442971,0.8424262861,0.0
54.8247695232,0.2682023685,0.9892849962,8.5105194428,9.9545223932,50.0319989482,8.1866998372,0.8093447097,0.8424274424,0.0
54.8248029944,0.2682023552,0.9892849834,8.5105141092,9.9545138395,50.0319785715,8.1866973489,0.8093451128,0.8424285978,0.0
54.8248364675,0.2682023424,0.9892849707,8.5105088007,9.954505285,50.0319581346,8.1866948483,0.8093455062,0.8424297521,0.0
54.8248699413,0.2682023303,0.989284958,8.5105035176,9.9544967305,50.0319376375,8.1866923356,0.8093458901,0.8424309054,0.0
54.8249034146,0.2682023187,0.9892849455,8.5104982602,9.9544881766,50.0319170806,8.1866898108,0.8093462645,0.8424320576,0.0
54.8249368863,0.2682023076,0.9892849331,8.5104930286,9.954479624,50.031896464,8.1866872739,0.8093466295,0.8424332088,0.0
54.824970355,0.2682022972,0.9892849208,8.5104878231,9.9544710733,50.031875788,8.1866847252,0.8093469851,0.842434359,0.0
54.8250038197,0.2682022873,0.9892849086,8.5104826439,9.9544625252,50.0318550527,8.1866821645,0.8093473314,0.8424355081,0.0
54.8250372791,0.2682022781,0.9892848965,8.5104774912,9.9544539804,50.0318342585,8.1866795921,0.8093476684,0.8424366561,0.0
54.8250707321,0.2682022694,0.9892848845,8.5104723653,9.9544454396,50.0318134056,8.186677008,0.8093479962,0.8424378031,0.0
54.8251041774,0.2682022613,0.9892848727,8.5104672664,9.9544369033,50.0317924941,8.1866744123,0.8093483149,0.842438949,0.0
54.8251376139,0.2682022538,0.9892848609,8.5104621947,9.9544283723,50.0317715244,8.186671805,0.8093486244,0.8424400938,0.0
54.8251710404,0.2682022469,0.9892848492,8.5104571503,9.9544198472,50.0317504966,8.1866691863,0.8093489249,0.8424412375,0.0
54.8252044557,0.2682022405,0.9892848377,8.5104521336,9.9544113287,50.0317294111,8.1866665562,0.8093492164,0.8424423801,0.0
54.8252378586,0.2682022348,0.9892848262,8.5104471448,9.9544028174,50.0317082681,8.1866639149,0.8093494989,0.8424435215,0.0
54.8252712481,0.2682022297,0.9892848148,8.510442184,9.954394314,50.0316870679,8.1866612623,0.8093497726,0.8424446619,0.0
54.8253046228,0.2682022251,0.9892848036,8.5104372514,9.9543858191,50.0316658106,8.1866585986,0.8093500375,0.8424458011,0.0
54.8253379817,0.2682022211,0.9892847924,8.5104323473,9.9543773334,50.0316444967,8.1866559239,0.8093502935,0.8424469392,0.0
54.8253713235,0.2682022178,0.9892847814,8.5104274719,9.9543688575,50.0316231263,8.1866532383,0.8093505409,0.8424480761,0.0
54.8254046472,0.268202215,0.9892847705,8.5104226253,9.9543603921,50.0316016997,8.1866505418,0.8093507796,0.8424492119,0.0
54.8254379515,0.2682022128,0.9892847596,8.5104178077,9.9543519377,50.0315802172,8.1866478345,0.8093510097,0.8424503465,0.0
54.8254712353,0.2682022113,0.9892847489,8.5104130194,9.9543434951,50.0315586791,8.1866451166,0.8093512313,0.84245148,0.0
54.8255044975,0.2682022103,0.9892847382,8.5104082606,9.9543350648,50.0315370857,8.186642388,0.8093514444,0.8424526122,0.0
54.8255377369,0.2682022099,0.9892847277,8.5104035313,9.9543266475,50.0315154372,8.186639649,0.8093516491,0.8424537433,0.0
54.8255709524,0.2682022101,0.9892847173,8.5103988319,9.9543182439,50.031493734,8.1866368996,0.8093518454,0.8424548732,0.0
54.8256041427,0.2682022109,0.9892847069,8.5103941625,9.9543098546,50.0314719763,8.1866341398,0.8093520334,0.8424560019,0.0
54.8256373069,0.2682022123,0.9892846967,8.5103895233,9.9543014801,50.0314501645,8.1866313698,0.8093522132,0.8424571294,0.0
54.8256704438,0.2682022143,0.9892846866,8.5103849144,9.9542931211,50.0314282989,8.1866285897,0.8093523848,0.8424582557,0.0
54.8257035521,0.2682022169,0.9892846765,8.5103803361,9.9542847783,50.0314063797,8.1866257995,0.8093525483,0.8424593807,0.0
54.8257366309,0.2682022202,0.9892846666,8.5103757885,9.9542764522,50.0313844072,8.1866229993,0.8093527037,0.8424605046,0.0
54.825769679,0.268202224,0.9892846567,8.5103712718,9.9542681435,50.0313623819,8.1866201893,0.8093528511,0.8424616272,0.0
54.8258026952,0.2682022284,0.989284647,8.5103667862,9.9542598527,50.0313403039,8.1866173696,0.8093529906,0.8424627485,0.0
54.8258356785,0.2682022334,0.9892846373,8.5103623318,9.9542515806,50.0313181737,8.1866145401,0.8093531222,0.8424638686,0.0
54.8258686277,0.268202239,0.9892846278,8.5103579088,9.9542433276,50.0312959915,8.1866117011,0.809353246,0.8424649875,0.0
54.8259015418,0.2682022452,0.9892846183,8.5103535174,9.9542350945,50.0312737577,8.1866088526,0.809353362,0.8424661051,0.0
54.8259344197,0.268202252,0.989284609,8.5103491577,9.9542268818,50.0312514726,8.1866059947,0.8093534704,0.8424672214,0.0
54.8259672601,0.2682022594,0.9892845997,8.5103448299,9.95421869,50.0312291365,8.1866031275,0.8093535711,0.8424683365,0.0
54.8260000622,0.2682022674,0.9892845905,8.5103405341,9.9542105199,50.0312067498,8.1866002511,0.8093536642,0.8424694503,0.0
54.8260328247,0.2682022761,0.9892845815,8.5103362705,9.954202372,50.0311843129,8.1865973656,0.8093537499,0.8424705627,0.0
54.8260655466,0.2682022853,0.9892845725,8.5103320393,9.9541942469,50.031161826,8.1865944711,0.8093538281,0.842471674,0.0
54.8260982268,0.2682022951,0.9892845636,8.5103278406,9.9541861451,50.0311392895,8.1865915677,0.8093538989,0.8424727839,0.0
54.8261308642,0.2682023055,0.9892845548,8.5103236745,9.9541780673,50.0311167038,8.1865886555,0.8093539625,0.8424738925,0.0
54.8261634578,0.2682023165,0.9892845461,8.5103195413,9.9541700141,50.0310940692,8.1865857346,0.8093540187,0.8424749998,0.0
54.8261960065,0.2682023281,0.9892845375,8.5103154409,9.954161986,50.031071386,8.186582805,0.8093540678,0.8424761057,0.0
54.8262285093,0.2682023404,0.989284529,8.5103113737,9.9541539836,50.0310486547,8.186579867,0.8093541098,0.8424772104,0.0
54.826260965,0.2682023532,0.9892845205,8.5103073397,9.9541460075,50.0310258756,8.1865769205,0.8093541447,0.8424783137,0.0
54.8262933727,0.2682023666,0.9892845122,8.510303339,9.9541380582,50.031003049,8.1865739657,0.8093541727,0.8424794158,0.0
54.8263257313,0.2682023806,0.9892845039,8.5102993718,9.9541301363,50.0309801754,8.1865710027,0.8093541937,0.8424805164,0.0
